"nombre","categoria","mias_o_comunidad","origen","ruta_original","hash_sha256","fecha_modificacion","confianza","ruta_biblioteca","razon_archivo","tipo"
"add-emails","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-emails; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-emails","C:\dev\jewel-ghl\core\skills\add-emails","F5C3BA23EEBEEB12DAA1E880DD3893757CA7D8FD6EF4A3FBA2B6BFC9D5614560","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-emails","","instruccion"
"add-mobile","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-mobile; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-mobile","C:\dev\jewel-ghl\core\skills\add-mobile","7F268C5F31CE8B51AC4B2670A466D849FB2317332DFE9ED560C2EC4F86EABBCE","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-mobile","","instruccion"
"add-payments","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-payments; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-payments","C:\dev\jewel-ghl\core\skills\add-payments","429A53CC867BDA68B6D6B50D6BEE10954B8F9C2F854BD5C17AA3BB19955439A4","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-payments","","instruccion"
"add-ui-kit","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\add-ui-kit; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\add-ui-kit","C:\dev\jewel-ghl\core\skills\add-ui-kit","939CA4CEB02F9B1A9986551F46CF750E605D4F7AF3AF28C4626BF7057F6E4523","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\add-ui-kit","","instruccion"
"agent-browser","agentes-meta","comunidad","agents=C:\Users\vonde\.agents\skills\agent-browser","C:\Users\vonde\.agents\skills\agent-browser","BB6B4C5AAE49FF88ADDB31312437F94242A3E5AAE950503AB4F332E28186C261","30/06/2026 12:34:11 a. m.","alta","C:\skills-library\agentes-meta\comunidad\agent-browser","","instruccion"
"ask-matt","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\ask-matt","C:\Users\vonde\.agents\skills\ask-matt","017EFE5A6165F2BEAD4C0537096CE3B476FFE0554E9B14CB39010F35122A7FDE","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\ask-matt","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"codebase-design","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\codebase-design","C:\Users\vonde\.agents\skills\codebase-design","22D3815E5629DDEA7ED7C9F8E7C330F6A1559466EE904E58371E1E8A10BE0C4B","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\codebase-design","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"domain-modeling","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\domain-modeling","C:\Users\vonde\.agents\skills\domain-modeling","004D5CB6258658F2E9CBF0D9F90BDC9104F8B83BD296556783800C31D503814F","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\domain-modeling","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"find-skills","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\find-skills","C:\Users\vonde\.agents\skills\find-skills","C00EEEA0E13E74FE4A9D84BA0A8542205A1B736D65F13134FE1A6647EB14976F","29/07/2026 07:20:19 p. m.","alta","C:\skills-library\_archivo\find-skills","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"grill-me","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\grill-me","C:\Users\vonde\.agents\skills\grill-me","9C71927D4F0FD32D815247B4CA1FC782D4C5F2F3C1D6D023D188D4A7E0299B21","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\grill-me","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"grill-with-docs","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\grill-with-docs","C:\Users\vonde\.agents\skills\grill-with-docs","269376D5146332F597C4194FA1ADEF93B879AD62E0183C0D111A447E7AF51BE9","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\grill-with-docs","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"implement","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\implement","C:\Users\vonde\.agents\skills\implement","30CD7BC1EBFB3891E85A1EED3B3B81AEA0FA4AD4553A784DE7F8E421B2D223E0","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\implement","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"improve-codebase-architecture","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\improve-codebase-architecture","C:\Users\vonde\.agents\skills\improve-codebase-architecture","5408CE415A8610568EDAF44BD7A32E35CA2B8A65051BCAE7D3ED61801E20088D","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\improve-codebase-architecture","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"setup-matt-pocock-skills","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\setup-matt-pocock-skills","C:\Users\vonde\.agents\skills\setup-matt-pocock-skills","5BB39F7C7468525677CB3CE7B0EF64D596570F9DF489D88CAFC4E302EF08810E","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\setup-matt-pocock-skills","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"tdd","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\tdd","C:\Users\vonde\.agents\skills\tdd","2DE14B893E7A1BF7030B9EB778A3714A19DA70C4284AD18A6E43B2402AA693EF","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\tdd","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"to-spec","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\to-spec","C:\Users\vonde\.agents\skills\to-spec","A8FFE2ECD1692F012D310DCA3F3C9A75F61086DF77DBB0A5BC38DDBC0BD2E6BC","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\to-spec","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"to-tickets","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\to-tickets","C:\Users\vonde\.agents\skills\to-tickets","78C2B786C75E9F89CCB21EC70EF30363AC67C679373E104BEBEE9F9022F35505","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\to-tickets","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"wayfinder","(system-duplicate, ver AppData Local hermes skills)","comunidad","agents(system-dup)=C:\Users\vonde\.agents\skills\wayfinder","C:\Users\vonde\.agents\skills\wayfinder","F6B44CE86D9D15C1848A06B6DC89E6237EAEBF3C47201AA7263645690719DF7A","11/07/2026 11:25:50 p. m.","alta","C:\skills-library\_archivo\wayfinder","duplicado: ya viene de fabrica en AppData\Local\hermes\skills (pack Matt Pocock), sin valor adicional","instruccion"
"autoresearch","agentes-meta","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\autoresearch; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\autoresearch","C:\dev\jewel-ghl\core\skills\autoresearch","01B6A9681A902662CB3E837C4E7D84E844555627CA7BC0540F29DA795FEB0A71","24/06/2026 10:48:46 p. m.","alta","C:\skills-library\agentes-meta\comunidad\autoresearch","","instruccion"
"banner-design","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\banner-design","C:\Users\vonde\.agents\skills\banner-design","CDC362B63D110DA6EF38AB451AD747C4C156EC450471604BDA944EC1FEBC4029","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\banner-design","","instruccion"
"brand","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\brand","C:\Users\vonde\.agents\skills\brand","F9569076ABC20B6397A2FBAF4FA3DC25F5620849FA3FDDCB6B72E745649594FD","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\brand","","instruccion"
"carrusel-studio","contenido","mias","claude=C:\Users\vonde\.claude\skills\carrusel-studio","C:\Users\vonde\.claude\skills\carrusel-studio","015CB38B9D5BB0E9E2A8D1F0A368F361E5984E672271F7FFB08D0139CFAAB02B","29/06/2026 07:10:42 p. m.","alta","C:\skills-library\contenido\mias\carrusel-studio","","instruccion"
"codebase-memory","agentes-meta","mias","claude=C:\Users\vonde\.claude\skills\codebase-memory","C:\Users\vonde\.claude\skills\codebase-memory","99371D29AF21E23079FD6CC2213E5E7ADD270304B3812DA55D5DFDBE67176684","16/07/2026 11:11:19 p. m.","alta","C:\skills-library\agentes-meta\mias\codebase-memory","","instruccion"
"controlled-monorepo-workflow","devops","mias","claude=C:\Users\vonde\.claude\skills\controlled-monorepo-workflow; agent-skills-repo(root)=C:\Users\vonde\Proyectos\agent-skills\controlled-monorepo-workflow; agent-skills-repo(rev2)=C:\Users\vonde\Proyectos\agent-skills\controlled-monorepo-workflow-rev2\skill\controlled-monorepo-workflow","C:\Users\vonde\Proyectos\agent-skills\controlled-monorepo-workflow","62FDEA96EA3B3F5B15104529429C66AF840FD53DDD73C5B38A60987DCB54E6A9","18/07/2026 01:38:50 p. m.","alta","C:\skills-library\devops\mias\controlled-monorepo-workflow","","instruccion"
"controlled-monorepo-workflow.backup-20260718","_archivo","mias","claude=C:\Users\vonde\.claude\skills\controlled-monorepo-workflow.backup-20260718; agent-skills-repo(bundle)=C:\Users\vonde\Proyectos\agent-skills\controlled-monorepo-workflow-bundle\controlled-monorepo-workflow","C:\Users\vonde\.claude\skills\controlled-monorepo-workflow.backup-20260718","1D98FA508B463FDA4A824B3EC40EC3EF530B884EC2D8A387732272897BA133B8","18/07/2026 01:38:02 p. m.","alta","C:\skills-library\_archivo\controlled-monorepo-workflow.backup-20260718","descartado: version anterior, superada por la canonica controlled-monorepo-workflow (hash distinto, mas vieja)","instruccion"
"create-image","contenido","comunidad","verdent=C:\Users\vonde\.verdent\skills\create-image","C:\Users\vonde\.verdent\skills\create-image","2362FE49E7930EB71A340412F06FAB9353079632CD9A16A6B8D772A8FADA3FDC","01/07/2026 12:27:59 a. m.","alta","C:\skills-library\contenido\comunidad\create-image","","instruccion"
"cyber-neo","seguridad","mias","claude=C:\Users\vonde\.claude\skills\cyber-neo; cyber-neo-proj=C:\Users\vonde\projects\cyber-neo\skills\cyber-neo","C:\Users\vonde\.claude\skills\cyber-neo","2B2C8BABA4294ED928CFE396D78074ADAD8334CD2AE795F46E13761B015B3BB6","30/06/2026 12:13:38 a. m.","alta","C:\skills-library\seguridad\mias\cyber-neo","","instruccion"
"design","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\design","C:\Users\vonde\.agents\skills\design","63D3E2F82969B88E866D8081CB33EC3592C960B5F4D2EA7C8A7F163FCD32CF6D","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\design","","instruccion"
"design-system","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\design-system","C:\Users\vonde\.agents\skills\design-system","B91FE756C32B26FA8F92FAB5AA31225FC733D350487336DD89A038C3B8A40D60","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\design-system","","instruccion"
"design-then-build","contenido","comunidad","verdent=C:\Users\vonde\.verdent\skills\design-then-build","C:\Users\vonde\.verdent\skills\design-then-build","1C684FB6EE97EF1537D28780563220266C51C52E9728B6869C1895FCE70551F2","01/07/2026 12:27:59 a. m.","alta","C:\skills-library\contenido\comunidad\design-then-build","","instruccion"
"diagnosing-bugs","backend","comunidad","agents=C:\Users\vonde\.agents\skills\diagnosing-bugs","C:\Users\vonde\.agents\skills\diagnosing-bugs","3DFE5EC16B89A01DBC1BF606A1A1CFC32349E225F3BB75A3FB86117974A83CB8","29/06/2026 11:59:45 p. m.","alta","C:\skills-library\backend\comunidad\diagnosing-bugs","","instruccion"
"docx","contenido","comunidad","verdent=C:\Users\vonde\.verdent\skills\docx","C:\Users\vonde\.verdent\skills\docx","EDC041ED1AE3844AD732BC4AFD444CE3DC52709D569D0A7209E566C7BD072A01","12/05/2026 02:05:16 p. m.","alta","C:\skills-library\contenido\comunidad\docx","","instruccion"
"el-crisol","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\el-crisol; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\el-crisol","C:\dev\jewel-ghl\core\skills\el-crisol","F6C720110EB14CCE4094498EF027075E88E27DF55F418192A240E008FD0F01FD","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\el-crisol","","instruccion"
"emil-design-eng","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\emil-design-eng","C:\Users\vonde\.agents\skills\emil-design-eng","AA528A78AB11F91D7DB49D091B573440B98B819EA75587E3F8ED8E79AB45091E","29/06/2026 11:05:53 p. m.","alta","C:\skills-library\diseno\comunidad\emil-design-eng","","instruccion"
"find-skills","agentes-meta","comunidad","verdent=C:\Users\vonde\.verdent\skills\find-skills","C:\Users\vonde\.verdent\skills\find-skills","C44FFAB50434C47C36369418197D98B314F17DEF01F645AA13A7BA883FAE0B8D","16/08/2026 03:51:18 p. m.","alta","C:\skills-library\agentes-meta\comunidad\find-skills","","instruccion"
"forge-reference","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\forge-reference; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\forge-reference","C:\dev\jewel-ghl\core\skills\forge-reference","4F34487D1E27A4E587704455B26677AB1AFBE6F2C25C80C1EEDE5881ABFC09E9","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\forge-reference","","instruccion"
"forge-tips","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\forge-tips; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\forge-tips","C:\dev\jewel-ghl\core\skills\forge-tips","071670896960A80C0336184FFD423FC9F827D5C421F1ACFE8B4771740C66FCB8","24/06/2026 10:48:46 p. m.","media","C:\skills-library\backend\comunidad\forge-tips","","instruccion"
"frontend-design","diseno","comunidad","verdent=C:\Users\vonde\.verdent\skills\frontend-design; agents=C:\Users\vonde\.agents\skills\frontend-design","C:\Users\vonde\.verdent\skills\frontend-design","7CDE88BB65BBA737047E30A07B8C5522E62F07B64AE5C1C90E2C837A03B12386","01/07/2026 12:15:02 a. m.","baja","C:\skills-library\diseno\comunidad\frontend-design","","instruccion"
"git-guardrails-claude-code","devops","comunidad","agents=C:\Users\vonde\.agents\skills\git-guardrails-claude-code","C:\Users\vonde\.agents\skills\git-guardrails-claude-code","E8993A2B4453AC7E22E4E5E035E5A519532467A3A7A80C7335B76A25C1ABC819","30/06/2026 12:00:11 a. m.","alta","C:\skills-library\devops\comunidad\git-guardrails-claude-code","","instruccion"
"hallmark","agentes-meta","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\hallmark; jewel-ghl(.agents)=C:\dev\jewel-ghl\.agents\skills\hallmark","C:\dev\jewel-ghl\.claude\skills\hallmark","5437B73A1A829210681CA21FA09B7276A5978875F960D3998846E0DC333E9343","24/06/2026 10:48:45 p. m.","baja","C:\skills-library\agentes-meta\comunidad\hallmark","","instruccion"
"huashu-design","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\huashu-design","C:\Users\vonde\.agents\skills\huashu-design","2830077DD711DE0CCCD4C3C00A840D7B5D69B14AC38446E19826540C99D914AD","29/06/2026 11:07:57 p. m.","alta","C:\skills-library\diseno\comunidad\huashu-design","","instruccion"
