"nombre","categoria","mias_o_comunidad","origen","ruta_original","hash_sha256","fecha_modificacion","confianza","ruta_biblioteca","razon_archivo","tipo"
"ready2hybrid-spec-governance","devops","mias","enforma-sys=C:\vonde\enforma-sys\ready2hybrid\skills\ready2hybrid-spec-governance","C:\vonde\enforma-sys\ready2hybrid\skills\ready2hybrid-spec-governance","DB47FF6A514DD58B99C6F90BD29DA44B089E04CF8C3703B9755CBEA2E77C5600","23/07/2026 11:11:16 a. m.","alta","C:\skills-library\devops\mias\ready2hybrid-spec-governance","","instruccion"
"review","backend","comunidad","agents=C:\Users\vonde\.agents\skills\review","C:\Users\vonde\.agents\skills\review","6B9188CBF826B04EE4535CE3E7BA97F765631E117404EF4F59CFA5A174F73A9F","30/06/2026 12:00:06 a. m.","alta","C:\skills-library\backend\comunidad\review","","instruccion"
"router-core","backend","comunidad","enforma-sys(hybrid-event-landing,node_modules@tanstack/router-core)=C:\vonde\enforma-sys\hybrid-event-landing\node_modules\@tanstack\router-core\skills\router-core; enforma-sys(hybrid-registro,node_modules@tanstack/router-core)=C:\vonde\enforma-sys\hybrid-registro\node_modules\@tanstack\router-core\skills\router-core","C:\vonde\enforma-sys\hybrid-registro\node_modules\@tanstack\router-core\skills\router-core","6CFE56D424F9EE6DDF72E5598E06C5103902724AE899C84D6AA9E3B932A74AC8","27/07/2026 07:10:16 p. m.","media","C:\skills-library\backend\comunidad\router-core","","instruccion"
"sinapsis-instincts","agentes-meta","mias","claude=C:\Users\vonde\.claude\skills\sinapsis-instincts; sinapsis=C:\Users\vonde\sinapsis\skills\sinapsis-instincts","C:\Users\vonde\.claude\skills\sinapsis-instincts","C7761C0CD18335B61F2EA16E2F84ADC6C934CD5EFC89CF45AFFEB41C77201212","29/06/2026 08:17:53 p. m.","alta","C:\skills-library\agentes-meta\mias\sinapsis-instincts","","instruccion"
"sinapsis-learning","agentes-meta","mias","claude=C:\Users\vonde\.claude\skills\sinapsis-learning; sinapsis=C:\Users\vonde\sinapsis\skills\sinapsis-learning","C:\Users\vonde\.claude\skills\sinapsis-learning","9F55D9DB4097797996F88281DD020E0EF15BB5A03864E850B32734317445869D","29/06/2026 08:17:53 p. m.","alta","C:\skills-library\agentes-meta\mias\sinapsis-learning","","instruccion"
"skill-creator","agentes-meta","comunidad","claude=C:\Users\vonde\.claude\skills\skill-creator; agents=C:\Users\vonde\.agents\skills\skill-creator","C:\Users\vonde\.agents\skills\skill-creator","E030E7685E26283B4A76F5202AA3AE8516FB41DDE799BE5AE8EA6393EC009FE9","30/06/2026 12:40:11 a. m.","alta","C:\skills-library\agentes-meta\comunidad\skill-creator","","instruccion"
"skill-router","agentes-meta","mias","claude=C:\Users\vonde\.claude\skills\skill-router; sinapsis=C:\Users\vonde\sinapsis\skills\skill-router","C:\Users\vonde\.claude\skills\skill-router","18FC5CFF3B3225FB7B61AD1FE02EF520DD83DE4D78B2A89A793D26342E37D5AE","16/08/2026 03:51:18 p. m.","alta","C:\skills-library\agentes-meta\mias\skill-router","","instruccion"
"slides","contenido","comunidad","agents=C:\Users\vonde\.agents\skills\slides","C:\Users\vonde\.agents\skills\slides","A1DFC9442DB2BE627771FAB97DACCCD0EAFA6A6F1A3D94BBDCE5950431727AA5","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\contenido\comunidad\slides","","instruccion"
"supabase","backend","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\supabase; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\supabase","C:\dev\jewel-ghl\core\skills\supabase","1C165444A290D50F7B84225888449AF7F7E53B080F272CFEBB311C1ED408ADA9","24/06/2026 10:48:46 p. m.","alta","C:\skills-library\backend\comunidad\supabase","","instruccion"
"super-samurai-evolution","agentes-meta","mias","hermes=C:\Users\vonde\.hermes\skills\super-samurai-evolution","C:\Users\vonde\.hermes\skills\super-samurai-evolution","2805B66F68A853E55BD3DABC4FB036DB61E7510A7406C93E7E3421A511E7CDF0","03/07/2026 12:29:41 p. m.","alta","C:\skills-library\agentes-meta\mias\super-samurai-evolution","","instruccion"
